Date,Price,Quantity Sold,exterior,rarity
Feb 19 2021 01: +0,28.786,172,Field-Tested,Covert
Feb 20 2021 01: +0,28.284,211,Field-Tested,Covert
Feb 21 2021 01: +0,29.111,168,Field-Tested,Covert
Feb 22 2021 01: +0,29.111,175,Field-Tested,Covert
Feb 23 2021 01: +0,28.532,211,Field-Tested,Covert
Feb 24 2021 01: +0,28.716,170,Field-Tested,Covert
Feb 25 2021 01: +0,29.51,180,Field-Tested,Covert
Feb 26 2021 01: +0,29.712,234,Field-Tested,Covert
Feb 27 2021 01: +0,29.598,233,Field-Tested,Covert
Feb 28 2021 01: +0,29.007,193,Field-Tested,Covert
Mar 01 2021 01: +0,30.493,191,Field-Tested,Covert
Mar 02 2021 01: +0,29.191,186,Field-Tested,Covert
Mar 03 2021 01: +0,29.714,209,Field-Tested,Covert
Mar 04 2021 01: +0,29.981,196,Field-Tested,Covert
Mar 05 2021 01: +0,30.139,217,Field-Tested,Covert
Mar 06 2021 01: +0,30.735,233,Field-Tested,Covert
Mar 07 2021 01: +0,30.555,198,Field-Tested,Covert
Mar 08 2021 01: +0,31.11,202,Field-Tested,Covert
Mar 09 2021 01: +0,30.668,206,Field-Tested,Covert
Mar 10 2021 01: +0,29.721,233,Field-Tested,Covert
Mar 11 2021 01: +0,30.033,211,Field-Tested,Covert
Mar 12 2021 01: +0,30.352,228,Field-Tested,Covert
Mar 13 2021 01: +0,30.121,250,Field-Tested,Covert
Mar 14 2021 01: +0,29.86,221,Field-Tested,Covert
Mar 15 2021 01: +0,29.99,206,Field-Tested,Covert
Mar 16 2021 01: +0,30.089,232,Field-Tested,Covert
Mar 17 2021 01: +0,30.468,229,Field-Tested,Covert
Mar 18 2021 01: +0,30.072,245,Field-Tested,Covert
Mar 19 2021 01: +0,29.243,275,Field-Tested,Covert
Mar 20 2021 01: +0,29.29,264,Field-Tested,Covert
Mar 21 2021 01: +0,29.772,260,Field-Tested,Covert
Mar 22 2021 01: +0,29.92,242,Field-Tested,Covert
Mar 23 2021 01: +0,29.86,247,Field-Tested,Covert
Mar 24 2021 01: +0,29.195,210,Field-Tested,Covert
Mar 25 2021 01: +0,29.301,239,Field-Tested,Covert
Mar 26 2021 01: +0,29.754,222,Field-Tested,Covert
Mar 27 2021 01: +0,29.073,265,Field-Tested,Covert
Mar 28 2021 01: +0,28.689,239,Field-Tested,Covert
Mar 29 2021 01: +0,29.054,268,Field-Tested,Covert
Mar 30 2021 01: +0,29.014,200,Field-Tested,Covert
Mar 31 2021 01: +0,28.836,239,Field-Tested,Covert
Apr 01 2021 01: +0,28.5,238,Field-Tested,Covert
Apr 02 2021 01: +0,29.044,289,Field-Tested,Covert
Apr 03 2021 01: +0,28.939,258,Field-Tested,Covert
Apr 04 2021 01: +0,28.737,262,Field-Tested,Covert
Apr 05 2021 01: +0,28.931,252,Field-Tested,Covert
Apr 06 2021 01: +0,29.79,217,Field-Tested,Covert
Apr 07 2021 01: +0,27.492,261,Field-Tested,Covert
Apr 08 2021 01: +0,26.553,306,Field-Tested,Covert
Apr 09 2021 01: +0,26.643,353,Field-Tested,Covert
Apr 10 2021 01: +0,26.383,303,Field-Tested,Covert
Apr 11 2021 01: +0,26.427,262,Field-Tested,Covert
Apr 12 2021 01: +0,25.396,264,Field-Tested,Covert
Apr 13 2021 01: +0,25.717,261,Field-Tested,Covert
Apr 14 2021 01: +0,26.872,89,Field-Tested,Covert
Apr 15 2021 01: +0,26.338,327,Field-Tested,Covert
Apr 16 2021 01: +0,26.728,274,Field-Tested,Covert
Apr 17 2021 01: +0,26.222,255,Field-Tested,Covert
Apr 18 2021 01: +0,25.644,254,Field-Tested,Covert
Apr 19 2021 01: +0,25.96,231,Field-Tested,Covert
Apr 20 2021 01: +0,24.945,280,Field-Tested,Covert
Apr 21 2021 01: +0,24.895,267,Field-Tested,Covert
Apr 22 2021 01: +0,24.722,258,Field-Tested,Covert
Apr 23 2021 01: +0,24.411,275,Field-Tested,Covert
Apr 24 2021 01: +0,24.363,281,Field-Tested,Covert
Apr 25 2021 01: +0,24.202,260,Field-Tested,Covert
Apr 26 2021 01: +0,24.144,280,Field-Tested,Covert
Apr 27 2021 01: +0,24.062,238,Field-Tested,Covert
Apr 28 2021 01: +0,23.296,259,Field-Tested,Covert
Apr 29 2021 01: +0,23.503,254,Field-Tested,Covert
Apr 30 2021 01: +0,23.231,332,Field-Tested,Covert
May 01 2021 01: +0,23.954,275,Field-Tested,Covert
May 02 2021 01: +0,23.923,284,Field-Tested,Covert
May 03 2021 01: +0,23.77,280,Field-Tested,Covert
May 04 2021 01: +0,23.2,434,Field-Tested,Covert
May 05 2021 01: +0,23.141,378,Field-Tested,Covert
May 06 2021 01: +0,23.58,341,Field-Tested,Covert
May 07 2021 01: +0,23.631,326,Field-Tested,Covert
May 08 2021 01: +0,23.771,330,Field-Tested,Covert
May 09 2021 01: +0,23.732,274,Field-Tested,Covert
