Date,Price,Quantity Sold,exterior,rarity
Oct 26 2014 01: +0,47.607,237,Field-Tested,Covert
Oct 27 2014 01: +0,45.43,207,Field-Tested,Covert
Oct 28 2014 01: +0,46.681,181,Field-Tested,Covert
Oct 29 2014 01: +0,43.978,213,Field-Tested,Covert
Oct 30 2014 01: +0,49.174,202,Field-Tested,Covert
Oct 31 2014 01: +0,47.702,263,Field-Tested,Covert
Nov 01 2014 01: +0,48.802,251,Field-Tested,Covert
Nov 02 2014 01: +0,45.54,248,Field-Tested,Covert
Nov 03 2014 01: +0,45.004,215,Field-Tested,Covert
Nov 04 2014 01: +0,43.141,211,Field-Tested,Covert
Nov 05 2014 01: +0,43.019,187,Field-Tested,Covert
Nov 06 2014 01: +0,42.97,200,Field-Tested,Covert
Nov 07 2014 01: +0,41.716,228,Field-Tested,Covert
Nov 08 2014 01: +0,42.419,231,Field-Tested,Covert
Nov 09 2014 01: +0,41.089,232,Field-Tested,Covert
Nov 10 2014 01: +0,41.171,238,Field-Tested,Covert
Nov 11 2014 01: +0,41.935,236,Field-Tested,Covert
Nov 12 2014 01: +0,37.499,378,Field-Tested,Covert
Nov 13 2014 01: +0,36.927,286,Field-Tested,Covert
Nov 14 2014 01: +0,38.009,271,Field-Tested,Covert
Nov 15 2014 01: +0,35.949,281,Field-Tested,Covert
Nov 16 2014 01: +0,36.333,269,Field-Tested,Covert
Nov 17 2014 01: +0,35.099,265,Field-Tested,Covert
Nov 18 2014 01: +0,35.557,237,Field-Tested,Covert
Nov 19 2014 01: +0,34.57,206,Field-Tested,Covert
Nov 20 2014 01: +0,33.296,216,Field-Tested,Covert
Nov 21 2014 01: +0,32.929,298,Field-Tested,Covert
Nov 22 2014 01: +0,34.23,289,Field-Tested,Covert
Nov 23 2014 01: +0,34.662,272,Field-Tested,Covert
Nov 24 2014 01: +0,33.321,245,Field-Tested,Covert
Nov 25 2014 01: +0,35.673,224,Field-Tested,Covert
Nov 26 2014 01: +0,37.092,247,Field-Tested,Covert
Nov 27 2014 01: +0,38.339,314,Field-Tested,Covert
Nov 28 2014 01: +0,39.205,298,Field-Tested,Covert
Nov 29 2014 01: +0,54.136,45,Field-Tested,Covert
Nov 30 2014 01: +0,35.8,508,Field-Tested,Covert
Dec 01 2014 01: +0,33.3,320,Field-Tested,Covert
Dec 02 2014 01: +0,35.743,287,Field-Tested,Covert
Dec 03 2014 01: +0,37.32,257,Field-Tested,Covert
Dec 04 2014 01: +0,38.123,231,Field-Tested,Covert
Dec 05 2014 01: +0,39.792,277,Field-Tested,Covert
Dec 06 2014 01: +0,40.513,302,Field-Tested,Covert
Dec 07 2014 01: +0,39.188,349,Field-Tested,Covert
Dec 08 2014 01: +0,38.337,258,Field-Tested,Covert
Dec 09 2014 01: +0,39.383,276,Field-Tested,Covert
Dec 10 2014 01: +0,37.713,293,Field-Tested,Covert
Dec 11 2014 01: +0,39.637,251,Field-Tested,Covert
Dec 12 2014 01: +0,40.694,274,Field-Tested,Covert
Dec 13 2014 01: +0,40.703,316,Field-Tested,Covert
Dec 14 2014 01: +0,39.369,305,Field-Tested,Covert
Dec 15 2014 01: +0,39.772,264,Field-Tested,Covert
Dec 16 2014 01: +0,38.714,285,Field-Tested,Covert
Dec 17 2014 01: +0,38.504,315,Field-Tested,Covert
Dec 18 2014 01: +0,37.946,341,Field-Tested,Covert
Dec 19 2014 01: +0,39.812,321,Field-Tested,Covert
Dec 20 2014 01: +0,39.909,317,Field-Tested,Covert
Dec 21 2014 01: +0,39.626,327,Field-Tested,Covert
Dec 22 2014 01: +0,38.586,330,Field-Tested,Covert
Dec 23 2014 01: +0,39.882,293,Field-Tested,Covert
Dec 24 2014 01: +0,40.992,415,Field-Tested,Covert
Dec 25 2014 01: +0,45.025,503,Field-Tested,Covert
Dec 26 2014 01: +0,45.641,435,Field-Tested,Covert
Dec 27 2014 01: +0,44.713,435,Field-Tested,Covert
Dec 28 2014 01: +0,44.359,363,Field-Tested,Covert
Dec 29 2014 01: +0,43.545,395,Field-Tested,Covert
Dec 30 2014 01: +0,45.231,351,Field-Tested,Covert
Dec 31 2014 01: +0,43.772,353,Field-Tested,Covert
Jan 01 2015 01: +0,43.576,283,Field-Tested,Covert
Jan 02 2015 01: +0,41.803,414,Field-Tested,Covert
Jan 03 2015 01: +0,42.494,404,Field-Tested,Covert
Jan 04 2015 01: +0,42.812,358,Field-Tested,Covert
Jan 05 2015 01: +0,42.766,350,Field-Tested,Covert
Jan 06 2015 01: +0,43.424,322,Field-Tested,Covert
Jan 07 2015 01: +0,42.69,303,Field-Tested,Covert
Jan 08 2015 01: +0,42.562,344,Field-Tested,Covert
Jan 09 2015 01: +0,39.357,507,Field-Tested,Covert
Jan 10 2015 01: +0,39.369,484,Field-Tested,Covert
Jan 11 2015 01: +0,39.204,454,Field-Tested,Covert
Jan 12 2015 01: +0,39.422,367,Field-Tested,Covert
Jan 13 2015 01: +0,40.439,377,Field-Tested,Covert
Jan 14 2015 01: +0,40.305,376,Field-Tested,Covert
Jan 15 2015 01: +0,40.508,391,Field-Tested,Covert
Jan 16 2015 01: +0,39.277,409,Field-Tested,Covert
Jan 17 2015 01: +0,38.672,424,Field-Tested,Covert
Jan 18 2015 01: +0,38.579,426,Field-Tested,Covert
Jan 19 2015 01: +0,38.381,386,Field-Tested,Covert
Jan 20 2015 01: +0,38.072,365,Field-Tested,Covert
Jan 21 2015 01: +0,38.162,312,Field-Tested,Covert
Jan 22 2015 01: +0,37.98,352,Field-Tested,Covert
Jan 23 2015 01: +0,38.732,435,Field-Tested,Covert
Jan 24 2015 01: +0,39.879,455,Field-Tested,Covert
Jan 25 2015 01: +0,37.873,484,Field-Tested,Covert
Jan 26 2015 01: +0,36.892,466,Field-Tested,Covert
Jan 27 2015 01: +0,37.271,353,Field-Tested,Covert
Jan 28 2015 01: +0,38.003,317,Field-Tested,Covert
Jan 29 2015 01: +0,36.887,385,Field-Tested,Covert
Jan 30 2015 01: +0,38.515,506,Field-Tested,Covert
Jan 31 2015 01: +0,39.464,456,Field-Tested,Covert
Feb 01 2015 01: +0,37.896,504,Field-Tested,Covert
Feb 02 2015 01: +0,38.213,381,Field-Tested,Covert
Feb 03 2015 01: +0,38.964,417,Field-Tested,Covert
Feb 04 2015 01: +0,39.24,421,Field-Tested,Covert
Feb 05 2015 01: +0,38.934,442,Field-Tested,Covert
Feb 06 2015 01: +0,38.357,464,Field-Tested,Covert
Feb 07 2015 01: +0,39.427,505,Field-Tested,Covert
Feb 08 2015 01: +0,38.046,473,Field-Tested,Covert
Feb 09 2015 01: +0,38.59,342,Field-Tested,Covert
Feb 10 2015 01: +0,38.313,317,Field-Tested,Covert
Feb 11 2015 01: +0,37.366,356,Field-Tested,Covert
Feb 12 2015 01: +0,37.079,400,Field-Tested,Covert
Feb 13 2015 01: +0,38.52,427,Field-Tested,Covert
Feb 14 2015 01: +0,39.012,502,Field-Tested,Covert
Feb 15 2015 01: +0,38.62,453,Field-Tested,Covert
Feb 16 2015 01: +0,37.629,464,Field-Tested,Covert
Feb 17 2015 01: +0,38.037,401,Field-Tested,Covert
Feb 18 2015 01: +0,37.984,403,Field-Tested,Covert
Feb 19 2015 01: +0,37.822,418,Field-Tested,Covert
Feb 20 2015 01: +0,38.616,476,Field-Tested,Covert
Feb 21 2015 01: +0,37.431,396,Field-Tested,Covert
Feb 22 2015 01: +0,37.171,374,Field-Tested,Covert
Feb 23 2015 01: +0,36.973,358,Field-Tested,Covert
Feb 24 2015 01: +0,37.306,344,Field-Tested,Covert
Feb 25 2015 01: +0,38.112,363,Field-Tested,Covert
Feb 26 2015 01: +0,38.793,381,Field-Tested,Covert
Feb 27 2015 01: +0,38.749,462,Field-Tested,Covert
Feb 28 2015 01: +0,38.518,436,Field-Tested,Covert
Mar 01 2015 01: +0,37.725,424,Field-Tested,Covert
Mar 02 2015 01: +0,37.682,372,Field-Tested,Covert
Mar 03 2015 01: +0,37.942,330,Field-Tested,Covert
Mar 04 2015 01: +0,38.232,368,Field-Tested,Covert
Mar 05 2015 01: +0,38.809,352,Field-Tested,Covert
Mar 06 2015 01: +0,38.69,436,Field-Tested,Covert
Mar 07 2015 01: +0,38.035,421,Field-Tested,Covert
Mar 08 2015 01: +0,37.318,420,Field-Tested,Covert
Mar 09 2015 01: +0,36.256,369,Field-Tested,Covert
Mar 10 2015 01: +0,35.679,322,Field-Tested,Covert
Mar 11 2015 01: +0,35.76,319,Field-Tested,Covert
Mar 12 2015 01: +0,36.288,399,Field-Tested,Covert
Mar 13 2015 01: +0,37.038,463,Field-Tested,Covert
Mar 14 2015 01: +0,36.463,551,Field-Tested,Covert
Mar 15 2015 01: +0,34.94,531,Field-Tested,Covert
Mar 16 2015 01: +0,34.9,430,Field-Tested,Covert
Mar 17 2015 01: +0,36.198,364,Field-Tested,Covert
Mar 18 2015 01: +0,35.972,351,Field-Tested,Covert
Mar 19 2015 01: +0,36.522,341,Field-Tested,Covert
Mar 20 2015 01: +0,37.009,427,Field-Tested,Covert
Mar 21 2015 01: +0,37.287,472,Field-Tested,Covert
Mar 22 2015 01: +0,36.474,444,Field-Tested,Covert
Mar 23 2015 01: +0,36.645,433,Field-Tested,Covert
Mar 24 2015 01: +0,37.376,382,Field-Tested,Covert
Mar 25 2015 01: +0,38.091,371,Field-Tested,Covert
Mar 26 2015 01: +0,37.419,376,Field-Tested,Covert
Mar 27 2015 01: +0,37.83,471,Field-Tested,Covert
Mar 28 2015 01: +0,37.68,454,Field-Tested,Covert
Mar 29 2015 01: +0,37.6,453,Field-Tested,Covert
Mar 30 2015 01: +0,36.882,457,Field-Tested,Covert
Mar 31 2015 01: +0,36.386,431,Field-Tested,Covert
Apr 01 2015 01: +0,36.963,554,Field-Tested,Covert
Apr 02 2015 01: +0,37.806,501,Field-Tested,Covert
Apr 03 2015 01: +0,37.943,450,Field-Tested,Covert
Apr 04 2015 01: +0,37.227,551,Field-Tested,Covert
Apr 05 2015 01: +0,37.903,522,Field-Tested,Covert
Apr 06 2015 01: +0,37.61,523,Field-Tested,Covert
Apr 07 2015 01: +0,38.338,600,Field-Tested,Covert
Apr 08 2015 01: +0,38.42,500,Field-Tested,Covert
Apr 09 2015 01: +0,37.968,491,Field-Tested,Covert
Apr 10 2015 01: +0,38.801,436,Field-Tested,Covert
Apr 11 2015 01: +0,37.339,584,Field-Tested,Covert
Apr 12 2015 01: +0,36.61,526,Field-Tested,Covert
Apr 13 2015 01: +0,35.253,517,Field-Tested,Covert
Apr 14 2015 01: +0,33.079,539,Field-Tested,Covert
Apr 15 2015 01: +0,32.884,471,Field-Tested,Covert
Apr 16 2015 01: +0,29.177,827,Field-Tested,Covert
Apr 17 2015 01: +0,29.643,739,Field-Tested,Covert
Apr 18 2015 01: +0,29.717,709,Field-Tested,Covert
Apr 19 2015 01: +0,29.396,527,Field-Tested,Covert
Apr 20 2015 01: +0,28.696,561,Field-Tested,Covert
Apr 21 2015 01: +0,29.737,516,Field-Tested,Covert
Apr 22 2015 01: +0,30.076,436,Field-Tested,Covert
Apr 23 2015 01: +0,30.113,456,Field-Tested,Covert
Apr 24 2015 01: +0,30.563,497,Field-Tested,Covert
Apr 25 2015 01: +0,30.887,631,Field-Tested,Covert
Apr 26 2015 01: +0,30.645,545,Field-Tested,Covert
Apr 27 2015 01: +0,30.622,456,Field-Tested,Covert
Apr 28 2015 01: +0,30.978,451,Field-Tested,Covert
Apr 29 2015 01: +0,31.33,428,Field-Tested,Covert
Apr 30 2015 01: +0,31.838,518,Field-Tested,Covert
May 01 2015 01: +0,29.348,975,Field-Tested,Covert
May 02 2015 01: +0,31.937,644,Field-Tested,Covert
May 03 2015 01: +0,30.903,619,Field-Tested,Covert
